Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
Oct 17 2017,0.998252,1.02,0.981165,0.999335,216808000,436298000,1.00
Oct 16 2017,0.998000,1.01,0.984020,0.998010,204158000,436187000,1.00
Oct 15 2017,1.00,1.01,0.992759,0.999242,209190000,437237000,1.00
Oct 14 2017,1.00,1.00,0.995903,0.999709,139468000,437279000,1.00
Oct 13 2017,1.00,1.02,0.992697,1.00,319485000,437101000,1.01
Oct 12 2017,0.999843,1.00,0.990707,0.997423,216202000,436993000,1.00
Oct 11 2017,0.997962,1.00,0.997106,0.998625,85384600,436171000,1.00
Oct 10 2017,1.00,1.00,0.996522,0.999441,137687000,437230000,1.00
Oct 09 2017,0.998897,1.01,0.994415,0.999780,178567000,436579000,1.00
Oct 08 2017,0.998110,1.00,0.995330,0.998442,123005000,436235000,1.00
Oct 07 2017,0.999588,1.00,0.992831,0.999320,89544100,436882000,1.00
Oct 06 2017,1.00,1.01,0.998001,1.00,92153700,437245000,1.00
Oct 05 2017,1.00,1.01,0.996433,1.00,119952000,437179000,1.00
Oct 04 2017,1.00,1.01,0.997725,1.00,114903000,437896000,1.00
Oct 03 2017,1.00,1.01,0.998800,1.00,137567000,437885000,1.00
Oct 02 2017,0.998088,1.00,0.995807,1.00,126009000,436226000,1.00
Oct 01 2017,0.997266,1.00,0.994993,0.999924,103007000,435867000,1.00
Sep 30 2017,1.00,1.00,0.993904,0.996488,117411000,437244000,1.00
Sep 29 2017,0.998357,1.02,0.994503,0.999863,205406000,426360000,1.01
Sep 28 2017,1.00,1.01,0.995264,1.00,232499000,427100000,1.00
Sep 27 2017,1.00,1.00,0.991286,1.00,201224000,427609000,1.00
Sep 26 2017,1.00,1.01,0.995946,1.00,103839000,442851000,1.00
Sep 25 2017,1.00,1.01,0.984388,1.00,160337000,443879000,1.00
Sep 24 2017,1.00,1.01,0.999100,1.00,91337900,443272000,1.00
Sep 23 2017,1.00,1.01,0.997654,1.00,118296000,442840000,1.00
Sep 22 2017,1.01,1.01,0.998901,1.00,164432000,444763000,1.00
Sep 21 2017,0.997446,1.02,0.994434,1.00,231706000,441351000,1.01
Sep 20 2017,1.00,1.00,0.988993,1.00,137763000,444392000,0.99
Sep 19 2017,1.00,1.01,0.995487,1.00,163298000,443240000,1.00
Sep 18 2017,1.00,1.01,0.992399,1.00,214648000,443461000,1.00
Sep 17 2017,1.01,1.01,0.992028,1.01,119083000,445726000,1.00
Sep 16 2017,1.00,1.04,0.991210,1.00,233445000,443607000,1.02
Sep 15 2017,1.00,1.03,0.966404,1.01,540295000,420283000,1.00
Sep 14 2017,1.00,1.03,0.979949,1.00,356495000,414813000,1.00
Sep 13 2017,1.00,1.02,0.991963,1.00,257404000,404358000,1.01
Sep 12 2017,1.00,1.02,0.996226,1.01,162774000,404210000,1.01
